LEXEM,FREQ
recurs,23235
art,23088
agrav,17801
feder,15869
tribun,15867
lei,15834
decis,12143
ministr,11505
julg,11186
prov,11128
constituc,10218
process,9919
rela,9043
constitu,8520
turm,8458
min,8320
rel,7779
direit,7659
extraordin,7510
fl,7431
est,7164
artig,7133
supr,7029
ement,6882
regiment,6806
pod,6445
neg,6206
públic,6197
ser,6096
cort,5930
acórd,5803
recorr,5579
dest,5479
part,5473
norm,5319
ped,5228
contr,5189
instrument,4995
cas,4979
dev,4864
dj,4843
fundament,4837
sobr,4823
term,4821
conhec,4759
n,4749
justiç,4660
preced,4581
açã,4498
ofens,4486
aut,4420
vot,4305
pres,4222
ato,4212
assim,4182
brasíl,4149
med,4080
limin,3764
decid,3743
sent,3712
plen,3676
ord,3668
val,3636
civil,3625
aleg,3541
serv,3480
entend,3471
súmul,3455
ldqu,3452
rdqu,3434
efeit,3408
quest,3398
publique-se.,3393
legal,3309
inconstitucional,3260
determin,3247
presid,3231
compet,3215
juríd,3211
princípi,3209
outr,3197
aplic,3187
impetr,3107
administr,3083
refer,3000
matér,2999
pag,2993
interpost,2959
fat,2958
incis,2914
bas,2872
venc,2853
aind,2817
embarg,2775
nest,2761
legisl,2757
seguranç,2741
dess,2715
profer,2696
trabalh,2680
declar,2668
jurisprud,2630
segu,2625
ra,2625
vist,2599
cart,2595
repúbl,2589
prim,2584
caus,2567
carl,2553
ant,2553
extraordinári,2538
form,2530
cels,2525
suspens,2523
ocorr,2515
mell,2454
mand,2437
infraconstituc,2437
estad,2415
cab,2414
tal,2396
relat,2392
cont,2366
ora,2293
stf,2287
quant,2287
incid,2284
códig,2282
penal,2271
cautel,2270
senh,2230
expost,2230
exam,2230
superi,2216
cuj,2198
reconhec,2195
tod,2190
requer,2184
soc,2177
impugn,2172
send,2170
reajust,2154
viol,2151
rtj,2151
ai,2149
geral,2148
consider,2145
qualqu,2143
espec,2140
bem,2134
orig,2129
pertenc,2107
poi,2093
segund,2092
mai,2092
habe,2081
observ,2079
benefíci,2048
necess,2036
marc,2031
apreci,2018
limit,2010
complement,2001
corpu,1997
seguint,1983
juíz,1978
nov,1961
constituiçã,1954
exist,1924
diret,1923
crim,1923
cf,1919
praz,1918
sob,1909
proced,1889
judic,1887
estabelec,1871
hipótes,1863
prest,1856
